symbol,id,issue_share,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,charter_capital
VID,76084,40836069," - Ngày 15/04/1974: Tiền thân của công ty là Công ty Viễn Đông Kỹ nghệ Giấy (VIDOGICO) được thành lập;  - Ngày 02/01/1978: Công ty chuyển thành Nhà máy Quốc doanh với tên gọi là Nhà máy Giấy Viễn Đông;  - Ngày 03/07/1985: Công ty đổi tên thành Xí nghiệp Khoa học – Sản xuất Giấy;  - Ngày 18/10/1991: Công ty sáp nhập vào Viện Công nghiệp Giấy và Xenluylo, đổi tên thành Phân Viện Công nghiệp Giấy và Xenluylo;  - Ngày 17/11/1992: Công ty đổi tên thành Nhà máy Giấy Viễn Đông;  - Ngày 05/07/1997: Công ty đổi tên thành Công ty Giấy Viễn Đông;  - Ngày 18/07/2000: Công ty chuyển đổi thành Công ty Cổ phần Giấy Viễn Đông;  - Ngày 12/07/2006: Công ty niêm yết cổ phiếu tại HOSE;  - Ngày 25/12/2006: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 22/12/2010: Tăng vốn điều lệ lên 255,2 tỷ đồng;  - Ngày 19/12/2018: Tăng vốn điều lệ lên 280.73 tỷ đồng;  - Ngày 19/10/2020: Tăng vốn điều lệ lên 308.800.700.000 đồng;  - Ngày 24/09/2021: Tăng vốn điều lệ lên 355.107.890.000 đồng;  - Ngày 05/08/2022: Tăng vốn điều lệ lên 408.360.690.000 đồng;","Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông (VID), tiền thân là Công ty Kỹ nghệ Giấy Viễn Đông (VIDOGICO) thành lập năm 1974. Năm 2000 công ty chuyển sang hoạt động theo mô hình cổ phần. Viễn Đông là công ty hàng đầu trong lĩnh vực kinh doanh các sản phẩm giấy; là nhà cung cấp lớn các loại giấy ngoại nhập; sản xuất giấy photocopy, giấy vệ sinh, khăn giấy các loại nhãn hiệu Vidon. Công ty có hệ thống phân phối sỉ, lẻ tại các chợ, cửa hàng trong khu vực thành phố Hồ Chí Minh và các tỉnh thành. Về mặt hàng khăn giấy được phân phối rộng rãi trong các hệ thống siêu thị (Coopmart, Maximark, Citimart), trung tâm thương mại trên cả nước. Công ty cũng có hệ thống phân phối mặt hàng giấy mỹ thuật từ Nam ra Bắc đồng thời bao gồm cả hệ thống các cửa hàng văn phòng phẩm, cửa hàng photocopy, công ty, nhà sách tại thành phố Hồ Chí Minh và khắp các tỉnh thành. Ngoài ra công ty còn xuất khẩu bao bì trực tiếp cho Nhật, Lào, Campuchia. Hiện tại Công ty đang sở hữu hệ thống nhà xưởng hơn 12.000 m2 tại Thành phố Hồ Chí Minh. Ngày 25/12/2006, VID chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).",Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,40836069,408360690000
GVT,76341,11605100," - Tháng 12/1958: Nhà máy Giấy Việt Trì được khởi công xây dựng;  - Ngày 19/05/1961: Nhà máy Giấy Việt Trì đi vào hoạt động với công suất thiết kế ban đầu là 18.000 tấn giấy/năm;  - Tháng 10/1998: Đổi tên thành Công ty Giấy Việt Trì;  - Ngày 28/10/2000: Dây chuyền sản xuất giấy bao bì công nghiệp với công suất 25.000 tấn/năm được khởi công xây dựng;  - Ngày 01/06/2002: Dây chuyền sản xuất giấy bao bì công nghiệp đi vào hoạt động;  - Ngày 16/05/2007: Bộ Trưởng Bộ Công nghiệp ban hành Quyết Định số 1700/QĐ-BCN về việc phê duyệt phương án cổ phần hóa và chuyển đổi Công ty Giấy Việt Trì thành Công ty Cổ phần Giấy Việt Trì;  - Ngày 23/09/2008: Chính thức chuyển sang hoạt động theo mô hình công ty cổ phần với vốn điều lệ ban đầu là 47 tỷ đồng;  - Năm 2009: Đầu tư thêm dây chuyền giấy in viết với công suất 20.000 tấn/năm;  - Ngày 01/09/2009: Trở thành công ty đại chúng;  - Ngày 29/11/2012: Tăng vốn điều lệ lên 65 tỷ đồng;  - Ngày 28/10/2013: Tăng vốn điều lệ lên 73,45 tỷ đồng;  - Ngày 12/01/2017: Chính thức được giao dịch trên thị trường UPCOM;  - Ngày 20/07/2020: Tăng vốn điều lệ lên 116,05 tỷ đồng","Công ty Cổ phần Giấy Việt Trì (GVT) có tiền thân là Nhà máy Giấy Việt Trì, được khởi công xây dựng vào tháng 12/1958. GVT hoạt động chủ yếu trong lĩnh vực sản xuất và kinh doanh bột giấy và giấy. Công ty chính thức chuyển sang hoạt động theo mô hình công ty cổ phần vào năm 2008. GVT hiện đang quản lý và vận hành Nhà máy Giấy Việt Trì với tổng công suất 80.000 tấn/năm. GVT được giao dịch trên thị trường UPCOM từ tháng 01/2017.",Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,11605100,116051000000
SLD,74247,78573095," - Năm 2008: Công ty Cổ phần Địa ốc Sacom được thành lập với vốn điều lệ 200 tỷ đồng;  - Năm 2009: Khởi công dự án xây dựng đầu tiên mang tên SAMLAND River View, một cao ốc căn hộ và văn phòng 12 tầng ở trung tâm quận Bình Thạnh, thành phố Hồ Chí Minh;  - Năm 2012: Hoàn thành dự án xây dựng SAMLAND River View;  - Ngày 23/11/2015: Tăng vốn điều lệ lên 402.236.090.000 đồng và khởi công dự án Căn hộ cao cấp SAMLAND Airport;  - Năm 2016: Khởi công dự án căn hộ cao cấp SAMLAND Riverside;  - Ngày 18/01/2018: Chấp thuận trở thành Công ty đại chúng;  - Ngày 22/01/2020: Tăng vốn điều lệ lên 422.347.860.000 đồng;  - Ngày 22/12/2020: Tăng vốn điều lệ lên 443.463.730.000 đồng thông qua trả cổ tức bằng cổ phiếu.  - Ngày 12/10/2021: Tăng vốn điều lệ lên 776.032.850.000 đồng thông qua chào bán cổ phiếu ra công chúng;  - Ngày 07/02/2022: Tăng vốn điều lệ lên 785.730.950.000 đồng thông qua trả cổ tức bằng cổ phiếu và chào bán thêm cổ phiếu ra công chúng;  - Ngày 15/08/2025: Giao dịch trên thị trường UPCOM;","Công ty Cổ phần Địa ốc Sacom (SLD) được thành lập vào năm 2008. Công ty hoạt động chính trong lĩnh vực kinh doanh bất động sản, bao gồm chủ yếu là các dự án nhà ở chung cư và trung tâm thương mại. Ngoài ra, SLD còn tham gia phân phối các dự án bất động sản với vai trò là nhà đầu tư thứ cấp. SLD đã và đang đầu tư phát triển các dự án Samland Airport, Dự án Samland Riverside (1 block), dự án Samland Tân Vạn (3 block), dự án KDC Samland Nhơn Trạch, dự án KDC Nhơn Trạch, và dự án trung tâm thương mại  - Dịch vụ  - Văn phòng và Căn hộ chung cư SG  - HN (1 Block). Bên cạnh đó, SLD tham gia phân phối các dự án Samland Giai Việt  - Block B2 và Dự án Hoàng Anh Riverview với tư cách là nhà đầu tư thứ cấp. Ngày 15/08/2025, SLD chính thức giao dịch trên thị trường UPCOM.",Bất động sản,Bất động sản,Bất động sản,78573095,785730950000
SWC,74550,67100000, - Ngày 09/08/1975: Cục Đường sông miền Nam được thành lập theo Quyết định số 32-QĐ/TC của Tổng Cục Giao thông Vận tải;  - Ngày 06/08/1976: Đổi tên thành Phân Cục Đường Sông;  - Ngày 30/01/1979: Đổi tên thành Xí nghiệp Liên hợp Vận tải sông Cửu Long;  - Ngày 15/12/1984: Đổi tên thành Liên hiệp các Xí nghiệp Vận tải Đường sông số 2;  - Ngày 28/02/1992: Đổi tên thành Tổng Công ty Vận tải Đường thủy II;  - Ngày 14/09/1993: Đổi tên thành Công ty Vận tải Đường thủy II;  - Ngày 13/08/1996: Tổng Công ty Đường sông Miền Nam được thành lập theo Quyết định số 2124/QĐ-TCCB-LĐ của Bộ Giao thông Vận tải;  - Ngày 26/05/2003: Tổng Công ty Đường sông Miền Nam được chuyển sang tổ chức và hoạt động theo mô hình Công ty mẹ – Công ty con;  - Ngày 04/07/2008: Thủ tướng Chính phủ ban hành Quyết định số 854/QĐ-TTg về việc phê duyệt phương án cổ phần hóa Tổng công ty Đường sông Miền Nam;  - Ngày 09/06/2009: Chính thức chuyển đổi thành Tổng công ty Cổ phần Đường sông Miền Nam;  - Ngày 29/04/2011: Giao dịch tại thị trường UPCoM;  - Tháng 03/2016: Tổng Công ty đã chuyển đổi cơ cấu cổ đông từ sở hữu Nhà nước chiếm đa số sang loại hình doanh nghiệp không còn vốn sở hữu Nhà nước;,"Tổng Công ty cổ phần Đường sông Miền Nam (SWC), có tiền thân là Cục Đường sông Miền Nam, được thành lập vào năm 1975. Vào tháng 6/2009, SOWATCO chính thức hoạt động theo mô hình công ty cổ phần. Tổng Công ty hoạt động trong lĩnh vực vận tải đường thủy, khai thác cảng, xếp dỡ hàng hóa và cơ khí sửa chữa đóng tàu. SOWATCO sở hữu đội tàu chuyên dùng lai dắt và hỗ trợ tàu biển công suất từ 560 HP đến 4.000 HP, đội 23 salan tự hành chở container các loại từ 90 TEU đến 300 TEU, salan, ponton các loại trọng tải từ 350 đến 2.400 tấn và đội xe vận tải chuyên dụng. SWC được giao dịch tại thị trường UPCoM từ Ngày 29/04/2011.",Vận tải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,67100000,671000000000
MGC,76428,10800000," - 01/09/1958: Công ty Cổ phần Địa chất mỏ  - TKV, tiền thân là đoàn thăm dò 9, được thành lập.  - 07/11/1964: Đoàn thăm dò 9 được nâng cấp thành liên đoàn địa chất 9 với các đoàn thăm dò trực thuộc.  - 31/10/1977: Liên đoàn địa chất 9 trở thành liên đoàn địa chất khu vực hoạt động tại Đông Bắc Việt Nam.  - 13/12/1991: Liên đoàn địa chất 9 đổi tên thành Công ty Địa chất và khai thác khoáng sản.  - 01/01/1995: Công ty Địa chất và khai thác khoáng sản là thành viên của Tổng công ty than Việt Nam.  - 03/04/2003: Tổng công ty than Việt Nam quyết định tách phần địa chất của công ty Địa chất và Khai thác khoáng sản để thành lập Công ty Địa chất mỏ.  - 28/09/2010: Tập đoàn than khoáng sản Việt Nam quyết định chuyển công ty địa chất mỏ  - TKV thành Công ty TNHH MTV Địa chất mỏ  - TKV.  - 19/11/2015: Công ty IPO tại HNX với giá trúng thầu bình quân là 10.038 đồng/cổ phần.  - 01/01/2016: Chính thức hoạt động theo mô hình công ty cổ phần với vốn điều lệ 108 tỷ đồng.  - 09/06/2016: Giao dịch trên thị trường UPCOM.","Công ty Cổ phần Địa chất Mỏ  - TKV (MGC) có tiền thân là Đoàn thăm dò 9, được thành lập vào năm 1958. Hoạt động kinh doanh chính của Công ty là khoan thăm dò địa chất. MGC chính thức hoạt động theo mô hình công ty cổ phần từ năm 2016. Là đơn vị thành viên của Tập đoàn Công nghiệp Than  - Khoáng sản Việt Nam (VINACOMIN), Công ty được tạo các điều kiện thuận lợi để tham gia cung cấp dịch vụ khoan thăm dò cho các đơn vị thành viên trực thuộc Tập đoàn và gần như không gặp phải sự cạnh tranh trong ngành khoan thăm dò. MGC được giao dịch trên thị trường UPCOM từ tháng 06/2016.",Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,10800000,108000000000
TTZ,75572,7570444," - Tháng 04, 2003: Thành lập dưới tên gọi công ty Trách nhiệm Hữu hạn Tiến Trung;  - Ngày 17/12/2010: Công ty chuyển sang mô hình công ty cổ phần với vốn điều lệ ban đầu là 15 tỷ đồng;  - Ngày 02/07/2011: Tăng vốn điều lệ lên 35 tỷ đồng, chính thức trở thành công ty đại chúng;  - Ngày 29/01/2013: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).  - Ngày 26/04/2015: Tăng vốn điều lệ lên 52.5 tỷ đồng.  - Ngày 29/12/2016: Tăng vốn điều lệ lên 70 tỷ đồng;  - Năm 2018: Tăng vốn điều lệ lên 75.7 tỷ đồng.  - Ngày 29/01/2024: Huỷ niêm yết trên sở giao dịch Chứng khoán Hà Nội (HNX);  - Ngày 07/02/2024: Giao dịch trên thị trường UPCOM;","Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung (TTZ), tiền thân là Công ty TNHH Tiến Trung được thành lập vào năm 2003. Năm 2010, Công ty chuyển đổi mô hình kinh doanh hoạt động là công ty cổ phần. Hoạt động chính của công ty là khai thác cát, đá, sỏi để cung cấp cho các công trình xây dựng như giao thông đường bộ, xây dựng thủy lợi, các công trình xây dựng trong địa bàn tỉnh Thái Bình; Cắt tạo dáng và hoàn thiện đá; San lấp mặt bằng, đào đắp bằng máy xúc và máy ủi... Với hơn 15 năm kinh nghiệm trong hoạt động khai thác, cho thuê kho bãi, TTZ hiện đang khai thác hơn 4.000m2 kho bãi, 5.000 m2 cảng. Song song với đó, với điều kiện địa lý thuận lợi, nằm gần cảng Trà Lý, đây là khu vực cảng mặt nước có độ sâu khoảng 15 – 20m, cho phép tàu có trọng tải tối đa khoảng 5.000 tấn vào cảng. Ngày 07/02/2024, TTZ chính thức giao dịch trên thị trường UPCOM.",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,7570444,75704440000
PSL,73347,11812500," - Tháng 03/1976: Tiền thân của công ty là Quốc doanh Chăn nuôi heo Phú Sơn được thành lập trên cơ sở Trại heo tư nhân có tên KYCANOCO;  - Năm 1984: Sáp nhập vào Công ty Chăn nuôi Đồng Nai;  - Tháng 07/1994: Tách khỏi Công ty Chăn nuôi Đồng Nai, và đổi tên thành Xí nghiệp Chăn nuôi heo Phú Sơn;  - Ngày 01/10/2005: Công ty chuyển sang hoạt động theo mô hình công ty cổ phần, đổi tên thành Công ty Cổ phần Chăn nuôi Phú Sơn. Vốn điều lệ ban đầu là 43 tỷ đồng;  - Ngày 16/07/2009: Tăng vốn điều lệ lên 45 tỷ đồng;  - Ngày 17/05/2010: Cổ phiếu của công ty được niêm yết và giao dịch trên sàn UPCoM;  - Ngày 28/10/2019: Tăng vốn điều lệ lên 118.12 tỷ đồng.","Công ty Cổ phần Chăn nuôi Phú Sơn (PSL) tiền thân là Quốc doanh Chăn nuôi heo Phú Sơn được thành lập năm 1976. Năm 2005 công ty chuyển sang hoạt động theo mô hình công ty cổ phần. Công ty chuyên cung cấp ra thị trường các sản phẩm chăn nuôi gia súc, gia cầm như thịt heo, heo giống, tinh heo, gà giống 1 ngày tuổi, gà thịt và cá sấu. Sản phẩm heo thịt, gà thịt của công ty chủ yếu được tiêu thụ tại thị trường các tỉnh miền Đông Nam Bộ và TP HCM; heo giống, gà giống được tiêu thụ từ các tỉnh miền Trung trở vào; tinh heo chủ yếu được tiêu thụ trên địa bàn tỉnh Đồng Nai.",Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,11812500,118125000000
GEG,70177,358308371," - Ngày 01/06/1989: Công ty Cổ phần Điện Gia Lai, tiền thân là Công ty Thủy điện Gia Lai – Kon Tum, được thành lập;  - Ngày 22/12/1992: Đổi tên thành Công ty Thủy điện La Đrăng 2;  - Ngày 20/04/1994: Đổi tên thành Công ty Thủy điện tỉnh Gia Lai;  - Ngày 24/10/1995: Đổi tên thành Công ty Điện Gia Lai;  - Ngày 30/07/2010: Tổ chức bán đấu giá cổ phần lần đầu ra công chúng (IPO) tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) với tổng số 26.143.593 được chào bán thành công và mức giá đấu thành công bình quân là 14.424 đồng/cổ phần;  - Ngày 27/08/2010: Tổ chức thành công Đại hội đồng cổ đông thành lập Công ty Cổ phần Điện Gia Lai;  - Ngày 09/09/2010: Chính thức hoạt động theo mô hình công ty cổ phần với vốn điều lệ 261.435.930.000 đồng;  - Ngày 22/12/2011: Trở thành công ty đại chúng theo Công văn số 4454 UBCK/QLPH của Ủy ban Chứng khoán Nhà Nước;  - Ngày 06/06/2012: Tăng vốn điều lệ lên 522.871.860.000 đồng;  - Ngày 29/08/2014: Tăng vốn điều lệ lên 601.302.280.000 đồng;  - Ngày 11/08/2015: Tăng vốn điều lệ lên 721.560.970.000 đồng;  - Ngày 11/11/2015: Tăng vốn điều lệ lên 744.903.390.000 đồng;  - Ngày 21/03/2017: Chính thức được giao dịch trên thị trường UPCOM;  - Ngày 21/06/2017: Tăng vốn điều lệ lên 893.883.240.000 đồng;  - Ngày 26/10/2017: Tăng vốn điều lệ lên 970.912.750.000 đồng;  - Ngày 16/10/2018: Tăng vốn điều lệ lên 1.941.825.500.000 đồng;  - Ngày 24/06/2019: Tăng vốn điều lệ lên 2.038.916.770.000 đồng;  - Ngày 11/09/2019: Hủy đăng ký giao dịch trên thị trường UPCOM;  - Ngày 19/09/2019: Chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 04/11/2020: Tăng vốn điều lệ lên 2.202.022.690.000 đồng.  - Ngày 13/11/2020: Tăng vốn điều lệ lên 2.711.751.880.000 đồng.  - Ngày 11/10/2021: Tăng vốn điều lệ lên 3.037.155.260.000 đồng;  - Ngày 07/07/2022: Tăng vốn điều lệ lên 3.219.369.020.000 đồng;  - Ngày 29/12/2022: Tăng vốn điều lệ lên 3.861.369.020.000 đồng;  - Ngày 19/07/2023: Tăng vốn điều lệ lên 4.054.494.010.000 đồng;  - Ngày 17/09/2024: Tăng vốn điều lệ lên 4.225.083.710.000 đồng;  - Ngày 29/12/2025: Giảm vốn điều lệ xuống 4.148.043.710.000 đồng;","Công ty Cổ phần Điện Gia Lai (GEG) có tiền thân là Công ty Thủy điện Gia Lai – Kon Tum, được thành lập vào tháng 06/1989. Hoạt động sản xuất chính của Công ty là sản xuất, truyền tải, phân phối và kinh doanh điện năng. GEG chính thức hoạt động theo mô hình công ty cổ phần từ năm 2010. Công ty đã trực tiếp đầu tư và góp vốn đầu tư xây dựng 13 nhà máy thủy điện với tổng công suất hơn 90 MW. Theo tính toán lý thuyết của Tạp chí năng lượng Việt Nam, tổng công suất thủy điện của nước ta vào khoảng 35.000 MW, trong đó 60% tập trung tại miền Bắc, 27% phân bố ở miền Trung và 13% thuộc khu vực miền Nam. Các dự án Điện Mặt trời hoạt động của GEC đa phần đều là những dự án đầu tiên đóng điện tại địa bàn có tỷ lệ bức xạ mặt trời tương đối tốt từ 4,6-5,3 kWh/m2 /ngày với số giờ nắng từ 1.700-2.544 giờ/năm. Ngày 19/09/2019, GEG chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).",Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,358308371,4148043710000
CX8,69030,2553771," - 2000: Tiền thân của Công ty là Xí nghiệp Xây lắp số 9 được thành lập;  - 2003: Xí nghiệp được tổ chức lại thành Công ty Xây lắp số 8 (Constrexim 8) trên có sở sáp nhập Xí nghiệp Xây lắp số 8 và Xí nghiệp Xây lắp số 9;  - 2005: Công ty chuyển sang hoạt động theo mô hình công ty cổ phần với vốn điều lệ ban đầu là 5,6 tỷ đồng;  - 2007: Tăng vốn điều lệ lên 11 tỷ đồng thông qua đợt chào bán cổ phần riêng lẻ cho 84 cổ đông;  - 2007: Tăng vốn điều lệ lên 19,5 tỷ đồng thông qua đợt chào bán riêng lẻ cho 98 cổ đông;  - Ngày 19/05/2010: Cổ phiếu của công ty được niêm yết và giao dịch trên sàn HNX;  - Ngày 05/10/2017: Tăng vốn điều lệ lên 22,23 tỷ đồng;  - Ngày 05/12/2023: Tăng vốn điều lệ lên 26 tỷ đồng;","Công ty Cổ phần Đầu tư và Xây lắp Constrexim Số 8 (CX8) được thành lập năm 2005 từ việc cổ phần hóa Doanh nghiệp Nhà nước là Công ty Xây lắp số 8. Công ty hoạt động chính trong các lĩnh vực: xây lắp dân dụng, đường và hạ tầng, dịch vụ tư vấn kiểm định và bán nguyên vật liệu xây dựng. CX8 chính thức hoạt động theo mô hình công ty cổ phần từ năm 2005. Trong đó doanh thu từ xây lắp chiếm tỷ trọng chủ yếu trong các năm qua (hơn 95%). Ngoài thị trường truyền thống là Hà Nội, hiện nay công ty đã mở rộng địa bàn hoạt động ra các tỉnh Cao Bằng, Sơn La, Hà Nam, Thái Bình, Hưng Yên, Bến Tre, Long An, Vĩnh Long, Cần Thơ và Thành phố Hồ Chí Minh. CX8 được niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2010.",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2553771,26721570000
PNJ,73238,341318666," - Ngày 28/04/1988: Cửa hàng Kinh doanh Vàng bạc Phú Nhuận ra đời, trực thuộc UBND Quận Phú Nhuận;  - Năm 1992: Chính thức mang tên Công ty Vàng Bạc Đá Quý Phú Nhuận sau hai lần đổi tên từ Cửa hàng Kinh doanh Vàng Bạc Phú Nhuận và Công ty Vàng Bạc Mỹ Nghệ Kiều Hối Phú Nhuận, đồng thời xác định chiến lược phát triển là nhà sản xuất kinh doanh trang sức chuyên nghiệp; Tại thời điểm này, PNJ còn mở rộng hoạt động bằng việc sáng lập Ngân hàng Đông Á với tỷ lệ vốn góp 40%;  - Năm 2001: Nhãn hiệu PNJSilver chính thức ra đời;  - Ngày 02/01/2004: Cổ phần hóa, chuyển đổi từ doanh nghiệp kinh tế Đảng thành Công ty Cổ phần Vàng Bạc Đá Quý Phú Nhuận;  - Ngày 03/04/2008: PNJ chính thức thay đổi logo mới nhân kỷ niệm 20 năm thành lập và phát triển;  - Tháng 03/2009: Cổ phiếu PNJ chính thức niêm yết tại HOSE, tăng vốn điều lệ lên 400 tỷ đồng;  - Tháng 08/2009: Công ty TNHH MTV Thời trang CAO được thành lập cùng với việc bổ sung ngành kinh doanh đồng hồ của các nhãn hiệu nổi tiếng thế giới tại hệ thống PNJ;  - Tháng 03/2011, PNJ khởi công xây dựng Xí nghiệp Nữ trang PNJ, đồng thời không ngừng nâng cấp quy mô hệ thống phân phối, khánh thành các trụ sở và khai trương các trung tâm kim hoàn tại Kiên Giang, Bình Dương, Biên Hòa, Hà Nội…;  - Ngày 18/10/2012: Khánh thành Xí nghiệp nữ trang PNJ với tổng vốn đầu tư là 120 tỷ đồng và công suất sản xuất đạt trên 4 triệu sản phẩm/năm;  - Ngày 12/1/2013: Khánh thành Trung tâm trang sức, kim cương và đồng hồ lớn nhất trên toàn hệ thống tại 52A - 52B Nguyễn Văn Trỗi, Q; Phú Nhuận, TP Hồ Chí Minh;  - Tháng 11/2013: Tăng vốn điều lệ lên 755,97 tỷ đồng;  - Ngày 10/07/2015: Tăng vốn điều lệ lên 982;745;770;000 đồng;  - Ngày 02/02/2018: Tăng vốn điều lệ lên 1.081.020.340.000 đồng;  - Ngày 10/07/2018: Tăng vốn điều lệ lên 1.621.393.240.000 đồng;  - Ngày 14/12/2018: Tăng vốn điều lệ lên 1.670.029.820.000 đồng;  - Ngày 04/07/2019: Tăng vốn điều lệ lên 2.226.679.600.000 đồng;  - Ngày 31/12/2019: Tăng vốn điều lệ lên 2.252.935.850.000 đồng;  - Ngày 11/01/2021: Tăng vốn điều lệ lên 2.276.123.620.000 đồng;  - Ngày 11/01/2023: Tăng vốn điều lệ lên 2.461.716.200.000 đồng;  - Ngày 06/02/2023: Tăng vốn điều lệ lên 3.281.691.880.000 đồng;  - Ngày 30/01/2024: Tăng vốn điều lệ lên 3.347.291.800.000 đồng;  - Ngày 07/10/2024: Tăng vốn điều lệ lên 3.380.747.760.000 đồng;  - Ngày 22/10/2025: Tăng vốn điều lệ lên 3.413.186.660.000 đồng;","Công ty Cổ phần Vàng Bạc Đá Quý Phú Nhuận (PNJ) có tiền thân là cửa hàng Kinh doanh Vàng bạc Phú Nhuận trực thuộc UBND Quận Phú Nhuận, được thành lập vào ngày 28/04/1988. PNJ chuyên sản xuất, kinh doanh trang sức bằng vàng, bạc, đá quý. Công ty chính thức hoạt động theo mô hình công ty cổ phần từ năm 2004. PNJ hiện quản lý và vận hành 2 nhà máy với tổng công suất sản xuất đạt trên 5 triệu sản phẩm/năm. Tại thời điểm cuối năm 2024, PNJ có 429 cửa hàng tại 58/63 tỉnh thành phố . Sản phẩm của PNJ đã được xuất khẩu tới 13 quốc gia và vùng lãnh thổ. PNJ được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009.",Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,341318666,3413186660000
