item,item_en
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  
4. Giá vốn hàng bán ,4. Cost of goods sold
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit
6.Doanh thu hoạt động tài chính ,6. Financial income
7. Chi phí tài chính ,7. Financial expenses
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result
9. Chi phí bán hàng ,9. Selling expenses
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit 
12. Thu nhập khác ,12. Other income
13. Chi phí khác ,13.Other expenses
14. Lợi nhuận khác,14. Other profit 
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*)
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax
Lợi ích của cổ đông thiểu số,Minority's interest
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND)
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share
