symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
SZL,HOSE,49.0,0.0,-4730375.0,4730375.0,231788375000.0
SGT,HOSE,16.45,0.0,-8144997.0,8144997.0,133985200650.0
ACC,HOSE,12.05,0.0,-7847096.0,7847096.0,94557506800.0
SZB,HNX,39.0,0.0,-2058700.0,2058700.0,80289300000.0
DRC,HOSE,15.45,0.0,-5171962.0,5171962.0,79906812900.0
VSN,UPCOM,17.5,0.0,-3319920.0,3319920.0,58098600000.0
VGI,UPCOM,116.0,0.0,-477365.0,477365.0,55374340000.0
QTP,UPCOM,12.8,0.0,-4259510.0,4259510.0,54521728000.0
EID,HNX,23.4,0.0,-1819302.0,1819302.0,42571666800.0
DCL,HOSE,57.3,0.0,-689663.0,689663.0,39517689900.0
MBB,HOSE,28.35,1239844.0,0.0,1239844.0,35149577400.0
PET,HOSE,37.35,0.0,-848915.0,848915.0,31706975250.0
TCT,HOSE,21.15,0.0,-1300390.0,1300390.0,27503248500.0
HCC,HNX,26.0,0.0,-906515.0,906515.0,23569390000.0
CST,HNX,13.1,0.0,-1774524.0,1774524.0,23246264400.0
DAD,HNX,16.1,0.0,-1398904.0,1398904.0,22522354400.0
MH3,UPCOM,31.0,0.0,-643700.0,643700.0,19954700000.0
PDN,HOSE,117.9,0.0,-128023.0,128023.0,15093911700.0
DRL,HOSE,46.3,0.0,-271370.0,271370.0,12564431000.0
CLX,UPCOM,16.2,0.0,-759200.0,759200.0,12299040000.0
