symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
WCS,HNX,283.8,0.0,-832444.0,832444.0,236247607200.0
SZL,HOSE,47.05,0.0,-4730375.0,4730375.0,222564143750.0
SGT,HOSE,16.1,0.0,-8144997.0,8144997.0,131134451700.0
ACC,HOSE,12.7,0.0,-7847096.0,7847096.0,99658119200.0
DRC,HOSE,15.1,0.0,-5171962.0,5171962.0,78096626200.0
VSN,UPCOM,17.6,0.0,-3319920.0,3319920.0,58430592000.0
QTP,UPCOM,12.6,0.0,-4259510.0,4259510.0,53669826000.0
VGI,UPCOM,107.0,0.0,-477365.0,477365.0,51078055000.0
EID,HNX,23.8,0.0,-1819302.0,1819302.0,43299387600.0
UIC,HOSE,60.6,0.0,-686560.0,686560.0,41605536000.0
DCL,HOSE,57.4,0.0,-690063.0,690063.0,39609616200.0
PET,HOSE,34.1,0.0,-848935.0,848935.0,28948683500.0
TCT,HOSE,20.2,0.0,-1300390.0,1300390.0,26267878000.0
MBB,HOSE,28.35,903557.0,0.0,903557.0,25615840950.0
HCC,HNX,27.0,0.0,-906515.0,906515.0,24475905000.0
CST,HNX,13.2,0.0,-1774524.0,1774524.0,23423716800.0
DAD,HNX,16.0,0.0,-1398904.0,1398904.0,22382464000.0
VNC,HNX,37.5,0.0,-538610.0,538610.0,20197875000.0
MH3,UPCOM,29.6,0.0,-643700.0,643700.0,19053520000.0
PDN,HOSE,114.1,0.0,-128023.0,128023.0,14607424300.0
