item,item_en,2025-Q3,2024-Q3
TÀI SẢN ,ASSETS,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2467579965.0,
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,569474029.0,
1. Tiền,1. Cash,57534029.0,
2. Các khoản tương đương tiền,2. Cash equivalents,511940000.0,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,192060000.0,
1. Chứng khoán kinh doanh,1. Available for sale securities,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,192060000.0,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,140045427.0,
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,98303672.0,
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,16073527.0,
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,33891681.0,
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-8272250.0,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,48797.0,
IV. Hàng tồn kho,IV. Inventories,1491008211.0,
1. Hàng tồn kho,1. Inventories,1492804655.0,
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-1796444.0,
V. Tài sản ngắn hạn khác,V. Other short-term assets,74992298.0,
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,74762886.0,
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,201553.0,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,27859.0,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2051317531.0,
I. Các khoản phải thu dài hạn,I. Long-term receivables,48583062.0,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,
6. Phải thu dài hạn khác,6. Other long-term receivables,48583062.0,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,
II. Tài sản cố định,II. Fixed assets,1289079001.0,
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1275090203.0,
      - Nguyên giá,    - Cost,4522606535.0,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-3247516332.0,
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,
      - Nguyên giá,    - Cost,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,13988798.0,
      - Nguyên giá,    - Cost,19468649.0,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-5479850.0,
III. Bất động sản đầu tư,III. Investment properties,,
      - Nguyên giá,    - Cost,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,282454957.0,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,282454957.0,
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,431200510.0,
1. Chi phí trả trước dài hạn,1. Long-term prepayments,413487770.0,
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,17712740.0,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,
4. Tài sản dài hạn khác,4. Other long-term assets,,
5. Lợi thế thương mại,5. Goodwill,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,
