item,item_en,2025-Q3,2024-Q3
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2084030511.0,1880482093.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,52920150.0,46532694.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2031110361.0,1833949399.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1547448501.0,1430389786.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,483661860.0,403559613.0
6.Doanh thu hoạt động tài chính ,6. Financial income,14321157.0,9729243.0
7. Chi phí tài chính ,7. Financial expenses,22178274.0,10795250.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,21007858.0,10636591.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,
9. Chi phí bán hàng ,9. Selling expenses,48983076.0,50068667.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,40994868.0,39548266.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,385826800.0,312876674.0
12. Thu nhập khác ,12. Other income,1520032.0,1081649.0
13. Chi phí khác ,13.Other expenses,48927.0,2772799.0
14. Lợi nhuận khác,14. Other profit ,1471105.0,-1691149.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,387297905.0,311185525.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,27349988.0,29930196.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),1947185.0,28801.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,358000731.0,281226528.0
Lợi ích của cổ đông thiểu số,Minority's interest,-374040.0,-1091892.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,358374772.0,282318420.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,
