item,item_en,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,7083824824.0,6310809485.0,6914471346.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,175251774.0,157353302.0,156556736.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,6908573050.0,6153456183.0,6757914611.0
4. Giá vốn hàng bán ,4. Cost of goods sold,5446333781.0,5609733698.0,6308051231.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,1462239269.0,543722485.0,449863379.0
6.Doanh thu hoạt động tài chính ,6. Financial income,85587297.0,44198795.0,40197119.0
7. Chi phí tài chính ,7. Financial expenses,51309960.0,70775838.0,119116232.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,42488833.0,65259286.0,88046372.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,-1072668.0
9. Chi phí bán hàng ,9. Selling expenses,187661852.0,174357362.0,179078784.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,157423087.0,127428110.0,131753421.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,1151431667.0,215359968.0,59039393.0
12. Thu nhập khác ,12. Other income,4074593.0,2580938.0,5435913.0
13. Chi phí khác ,13.Other expenses,11469004.0,2742185.0,2803300.0
14. Lợi nhuận khác,14. Other profit ,-7394411.0,-161247.0,2632613.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,1144037256.0,215198721.0,61672007.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,122257828.0,33512896.0,35805598.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-9074956.0,549981.0,3415405.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,1030854385.0,181135844.0,22451004.0
Lợi ích của cổ đông thiểu số,Minority's interest,-8896352.0,-39485675.0,-42901766.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,1039750737.0,220621519.0,65352770.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,
