item,item_en,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3713.4,711.68,210.82
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),11571.43,11591.41,11089.96
Chỉ số giá thị trường trên thu nhập (P/E),P/E,0.0,0.0,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.0,0.0,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.0,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0
Beta,Beta,0.0,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.37,1.48,7.54
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.28,0.0,1.57
Tỷ suất lợi nhuận gộp biên,Gross profit margin,21.17,8.84,6.66
Tỷ lệ lãi EBIT,EBIT margin,17.17,4.56,2.22
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,23.28,12.61,10.64
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,14.92,2.94,0.33
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,30.43,6.28,3.8
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),34.63,7.5,0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,21.26,4.16,2.38
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,12.27,-8.94,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,168.93,20.86,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,431.62,248.94,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,371.28,237.59,0.0
Tăng trưởng tổng tài sản,Total assets,-8.37,-7.13,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,14855.91,-99.97,0.0
Tăng trưởng nợ phải trả,Liabilities,-4.88,-26.59,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,-9.83,4.52,0.0
Tăng trưởng vốn điều lệ,Charter capital,-9.68,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.37,0.47,0.19
Tỷ số thanh toán nhanh,Quick ratio,0.79,0.93,0.67
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.6,0.78,0.51
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.62,1.59,1.62
Khả năng thanh toán lãi vay,Interest coverage,27.93,4.3,1.7
