item,item_en,2025-Q3
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,829828786.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,829828786.0
4. Giá vốn hàng bán ,4. Cost of goods sold,476261132.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,353567654.0
6.Doanh thu hoạt động tài chính ,6. Financial income,204802399.0
7. Chi phí tài chính ,7. Financial expenses,119865395.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,110935687.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,
9. Chi phí bán hàng ,9. Selling expenses,49861626.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,232621210.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,156021823.0
12. Thu nhập khác ,12. Other income,127290816.0
13. Chi phí khác ,13.Other expenses,1286427.0
14. Lợi nhuận khác,14. Other profit ,126004389.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,282026212.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,66989105.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-9470378.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,224507485.0
Lợi ích của cổ đông thiểu số,Minority's interest,21365.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,224486119.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,
