item,item_en,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,27162.33
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),267046.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,39.39
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,4.01
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,10.66
Tỷ suất cổ tức,Dividend yield,0.0
Beta,Beta,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,30.49
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,28.23
Tỷ suất lợi nhuận gộp biên,Gross profit margin,42.61
Tỷ lệ lãi EBIT,EBIT margin,47.35
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,51.14
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,27.05
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,20.34
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,7.15
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0
Tăng trưởng  doanh thu thuần,Net revenue,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0
Tăng trưởng tổng tài sản,Total assets,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0
Tăng trưởng nợ phải trả,Liabilities,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.0
Tăng trưởng vốn điều lệ,Charter capital,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.11
Tỷ số thanh toán nhanh,Quick ratio,1.84
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.14
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.84
Khả năng thanh toán lãi vay,Interest coverage,3.54
