item,item_en,2024,2023
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2280507766.0,2081600989.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2280507766.0,2081600989.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1653539791.0,2322658361.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,626967976.0,-241057371.0
6.Doanh thu hoạt động tài chính ,6. Financial income,447813135.0,285000088.0
7. Chi phí tài chính ,7. Financial expenses,406023244.0,398867022.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,369348408.0,336647965.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,
9. Chi phí bán hàng ,9. Selling expenses,163158374.0,138176000.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,660788601.0,496595682.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-155189108.0,-989695988.0
12. Thu nhập khác ,12. Other income,612849721.0,349441464.0
13. Chi phí khác ,13.Other expenses,8376212.0,32054248.0
14. Lợi nhuận khác,14. Other profit ,604473509.0,317387215.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,449284401.0,-672308772.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,41290546.0,110236654.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),56701567.0,-237143915.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,351292289.0,-545401511.0
Lợi ích của cổ đông thiểu số,Minority's interest,34589.0,-54719.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,351257699.0,-545346793.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,
