item,item_en,2024,2023
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,42501.41,-65985.77
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),209061.8,166556.1
Chỉ số giá thị trường trên thu nhập (P/E),P/E,0.0,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.0,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0
Beta,Beta,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,2.78,-6.17
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,2.75,-6.31
Tỷ suất lợi nhuận gộp biên,Gross profit margin,27.49,-11.58
Tỷ lệ lãi EBIT,EBIT margin,35.9,-16.13
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,36.29,-15.77
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,15.4,-26.2
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,22.63,-79.24
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),27.94,0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,7.82,-27.6
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,9.56,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,160.09,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-33.17,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-35.59,0.0
Tăng trưởng tổng tài sản,Total assets,27.43,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,10.93,0.0
Tăng trưởng nợ phải trả,Liabilities,28.44,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,25.52,0.0
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.34,0.17
Tỷ số thanh toán nhanh,Quick ratio,2.2,2.59
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.38,0.19
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.2,2.59
Khả năng thanh toán lãi vay,Interest coverage,2.22,-1.0
