item,item_en,2024,2023
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,
1. Lợi nhuận trước thuế,1. Profit before tax,449284401.0,-672308772.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,8865378.0,7304307.0
Các khoản dự phòng,(Reversal of provisions)/provisions,918932813.0,1549663259.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,1894813.0,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-441049216.0,-279854688.0
Chi phí lãi vay,Interest expense,391693611.0,361335683.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,
Điều chỉnh cho các khoản khác,Adjustments for,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,1329621800.0,966139790.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-1659954165.0,-1199108048.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,353770.0,494811.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",165116145.0,-210185237.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,38097013.0,96922895.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,
Tiền lãi vay đã trả,Interest paid,-364788440.0,-351131913.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-112071365.0,-31659069.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,,-248000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,-603625241.0,-728774770.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-6429247.0,-6914076.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-102700000.0,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",60100000.0,17500000.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",467301446.0,280573039.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,418272198.0,291158962.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,,1108018503.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,1780208454.0,1831218076.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,-1181729250.0,-2711620783.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",,
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,598479204.0,227615795.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,413126161.0,-210000013.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,217359447.0,427359459.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,630485608.0,217359447.0
