item,item_en,2025,2024
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,471.18,10.5
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),5729.2,5258.01
Chỉ số giá thị trường trên thu nhập (P/E),P/E,29.29,0.0
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.41,0.0
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.35,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0
Beta,Beta,0.0,0.0
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,19.0,47.36
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,8.78,6.24
Tỷ lệ lãi EBIT,EBIT margin,2.25,1.73
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,6.66,7.3
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.19,0.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,8.58,0.4
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),8.68,0.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.65,0.12
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,680.5,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,998.74,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,4387.9,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,4387.9,0.0
Tăng trưởng tổng tài sản,Total assets,-0.48,0.0
Tăng trưởng nợ dài hạn,Long-term liabilities,-14.25,0.0
Tăng trưởng nợ phải trả,Liabilities,-4.42,0.0
Tăng trưởng vốn chủ sở hữu,Owner's equity,8.96,0.0
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.26,0.23
Tỷ số thanh toán nhanh,Quick ratio,0.58,0.53
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.37,0.33
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.73,0.71
Khả năng thanh toán lãi vay,Interest coverage,2.12,1.14
