item,item_en,2025,2024
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5163750607.0,662149996.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,556054.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,5163750607.0,661593942.0
4. Giá vốn hàng bán ,4. Cost of goods sold,4710322799.0,620325826.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,453427808.0,41268116.0
6.Doanh thu hoạt động tài chính ,6. Financial income,10986847.0,1305781.0
7. Chi phí tài chính ,7. Financial expenses,55006153.0,10067737.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,54899341.0,10067687.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,
9. Chi phí bán hàng ,9. Selling expenses,302308848.0,33221160.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,86944917.0,15023329.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,20154736.0,-15738329.0
12. Thu nhập khác ,12. Other income,45538521.0,19973741.0
13. Chi phí khác ,13.Other expenses,4265360.0,2866666.0
14. Lợi nhuận khác,14. Other profit ,41273161.0,17107075.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,61427898.0,1368746.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,,
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,61427898.0,1368746.0
Lợi ích của cổ đông thiểu số,Minority's interest,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,61427898.0,1368746.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,10.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,
