symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
SZL,HOSE,49.0,0.0,-4730375.0,4730375.0,231788375000.0
WCS,HNX,276.0,0.0,-832444.0,832444.0,229754544000.0
SGT,HOSE,16.35,0.0,-8144997.0,8144997.0,133170700950.0
MBB,HOSE,28.65,3425400.0,0.0,3425400.0,98137710000.0
ACC,HOSE,12.5,0.0,-7847096.0,7847096.0,98088700000.0
SZB,HNX,39.8,0.0,-2058700.0,2058700.0,81936260000.0
DRC,HOSE,15.45,0.0,-5171962.0,5171962.0,79906812900.0
QTP,UPCOM,12.6,0.0,-4259510.0,4259510.0,53669826000.0
VGI,UPCOM,111.0,0.0,-477365.0,477365.0,52987515000.0
EID,HNX,23.2,0.0,-1819302.0,1819302.0,42207806400.0
DCL,HOSE,57.2,0.0,-689663.0,689663.0,39448723600.0
PET,HOSE,38.5,0.0,-848895.0,848895.0,32682457500.0
TCT,HOSE,21.25,0.0,-1300390.0,1300390.0,27633287500.0
CST,HNX,13.3,0.0,-1774524.0,1774524.0,23601169200.0
DAD,HNX,15.8,0.0,-1398904.0,1398904.0,22102683200.0
VNC,HNX,39.0,0.0,-538610.0,538610.0,21005790000.0
PDN,HOSE,117.0,0.0,-128023.0,128023.0,14978691000.0
DRL,HOSE,46.0,0.0,-271370.0,271370.0,12483020000.0
CLX,UPCOM,16.3,0.0,-759200.0,759200.0,12374960000.0
DP3,HNX,62.5,0.0,-188161.0,188161.0,11760062500.0
