symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
SZL,HOSE,48.6,0.0,-4730375.0,4730375.0,229896225000.0
SGT,HOSE,16.4,0.0,-8144997.0,8144997.0,133577950800.0
ACC,HOSE,12.5,0.0,-7847096.0,7847096.0,98088700000.0
SZB,HNX,39.5,0.0,-2058700.0,2058700.0,81318650000.0
DRC,HOSE,15.4,0.0,-5171962.0,5171962.0,79648214800.0
MBB,HOSE,28.55,2509057.0,0.0,2509057.0,71633577350.0
VSN,UPCOM,17.6,0.0,-3319920.0,3319920.0,58430592000.0
QTP,UPCOM,12.7,0.0,-4259510.0,4259510.0,54095777000.0
VGI,UPCOM,112.4,0.0,-477365.0,477365.0,53655826000.0
EID,HNX,23.6,0.0,-1819302.0,1819302.0,42935527200.0
DCL,HOSE,57.7,0.0,-689663.0,689663.0,39793555100.0
PET,HOSE,36.05,0.0,-848915.0,848915.0,30603385750.0
TCT,HOSE,21.2,0.0,-1300390.0,1300390.0,27568268000.0
HCC,HNX,26.0,0.0,-906515.0,906515.0,23569390000.0
CST,HNX,13.2,0.0,-1774524.0,1774524.0,23423716800.0
DAD,HNX,16.1,0.0,-1398904.0,1398904.0,22522354400.0
MH3,UPCOM,32.0,0.0,-643700.0,643700.0,20598400000.0
PDN,HOSE,115.0,0.0,-128023.0,128023.0,14722645000.0
DRL,HOSE,46.45,0.0,-271370.0,271370.0,12605136500.0
CLX,UPCOM,16.2,0.0,-759200.0,759200.0,12299040000.0
